timestamp,t,p_peep,p_pip,p_plat,p_aw_avg,V_tidal,f,frac_insp_O2,P_et_CO2,sat_p_O2,pulse_rate,pulse_index,C_rs_eve,R_rs_eve,R_rs_est,C_rs_est,p_peep_est,coef_determ
1557415900.95,46.61,24.4,38.357,38.141,30.155,120.707,20,100,23.021,100,174.696,NaN,8.067,10,8.468,8.149,24.354,0.995
1557415903.93,49.59,24.212,39.525,38.2,30.76,117.623,20,100,25.556,100,174.437,NaN,8,10,8.249,8.363,24.115,0.995
1557415906.96,52.62,24.58,39.41,38.2,30.8,121.729,20,100,30.53,100,176,NaN,8,10,8.142,8.448,24.115,0.995
1557415909.96,55.62,24.406,39.4,38.2,30.8,124.494,20,98.095,32.867,100,176,NaN,8,10,8.008,8.226,24.368,0.996
1557415912.93,58.59,24.4,39.4,37.809,30.8,123.845,20,98,33.853,100,176,NaN,8,10,8.654,8.314,24.165,0.995
1557415915.92,61.58,24.4,39.781,38.175,30.8,123.421,20,98,35.451,100,176,NaN,8,10,8.253,8.319,24.305,0.995
1557415918.91,64.57,24.209,39.8,38.2,30.8,124.536,20,99.879,35.946,100,176,NaN,8,10,7.995,8.42,24.232,0.995
1557415921.91,67.57,24.2,39.61,38.2,30.8,125.544,20,100,36.194,100,177.155,NaN,8,10,8.033,8.561,24.08,0.995
1557415924.93,70.59,24.393,39.407,38.011,30.8,127.131,20,100,36.968,100,178,NaN,8,8.113,7.584,8.486,24.307,0.996
1557415927.94,73.6,24.4,39.4,38.19,30.8,128.16,20,98.092,37.2,100,178,NaN,8,8,8.032,8.571,24.164,0.995
1557415930.96,76.62,24.597,39.4,38.2,30.8,128.005,20,98,37.781,100,178,NaN,8,8,7.996,8.329,24.311,0.996
1557415933.96,79.62,24.403,39.4,38.2,30.8,127.609,20,99.94,38,100,178.26,NaN,8,8,7.836,8.377,24.355,0.996
1557415936.96,82.62,24.598,39.597,38.006,30.8,126.62,20,100,38.44,100,179.307,NaN,8,8,8.097,8.464,24.281,0.996
1557415939.96,85.62,24.6,39.402,38.195,30.8,126.403,20,100,38.6,100,179.307,NaN,8,8,7.949,8.415,24.351,0.996
1557415942.93,88.59,24.6,39.598,38.2,30.8,127.186,20,100,38.6,100,180,NaN,8,8,8.057,8.438,24.275,0.996
1557415945.86,91.52,24.6,39.415,38.009,30.8,126.622,20,100,39.135,100,180,NaN,8,8,8.041,8.645,23.993,0.994
1557415948.83,94.49,24.416,39.4,38,30.8,127.363,20,100,39.4,100,180,NaN,8,8,7.925,8.65,24.257,0.995
1557415951.82,97.48,24.4,39.4,38,30.8,128.31,20,100,39.93,100,180,NaN,8,8,8.156,8.694,24.098,0.994
1557415954.82,100.48,24.216,39.583,38.189,30.8,129.31,20,98.107,40.696,100,181.513,NaN,8,8,8.069,8.638,24.23,0.995
1557415957.82,103.48,24.2,39.6,38.2,30.8,130.679,20,98,41,100,182,NaN,8,8,8.329,8.733,24.13,0.994
1557415960.82,106.48,24.384,39.6,38.2,30.8,130.436,20,98,41,100,182,NaN,8,8,8.537,8.751,24.03,0.994
1557415963.83,109.49,24.4,39.785,38.2,30.8,129.85,20,98,41.376,100,182,NaN,8,8,8.108,8.627,24.321,0.995
1557415966.85,112.51,24.4,39.8,38.2,30.8,129.063,20,99.83,41.6,100,182,NaN,8,8,8.449,8.573,24.232,0.995
1557415969.87,115.53,24.4,39.611,37.828,30.8,127.496,20,100,41.6,100,182,NaN,8,8,8.253,8.71,24.253,0.996
1557415972.84,118.5,24.4,39.6,37.986,30.8,127.4,20,100,41.6,100,182.597,NaN,8,8,8.153,8.749,24.215,0.995
